datetime,temp
2022-06-09,16.9
2022-06-10,19.3
2022-06-11,20.6
2022-06-12,19.1
2022-06-13,18
2022-06-14,20.6
2022-06-15,23.7
2022-06-16,24
2022-06-17,26.7
2022-06-18,29.2
2022-06-19,20.6
2022-06-20,18
2022-06-21,20.8
2022-06-22,20.7
2022-06-23,23
2022-06-24,21.1
2022-06-25,17.4
2022-06-26,17.4
2022-06-27,19
2022-06-28,21
2022-06-29,21.1
2022-06-30,15.5
2022-07-01,16.7
2022-07-02,20.2
2022-07-03,19.5
2022-07-04,19.9
2022-07-05,19.6
2022-07-06,20.3
2022-07-07,19
2022-07-08,20
2022-07-09,22.9
2022-07-10,21.1
2022-07-11,24.1
2022-07-12,26.4
2022-07-13,28.4
2022-07-14,25.7
2022-07-15,21.9
2022-07-16,22.8
2022-07-17,24.9
2022-07-18,29
2022-07-19,31.2
2022-07-20,21.3
2022-07-21,21.7
2022-07-22,21.2
2022-07-23,21.7
2022-07-24,25.7
2022-07-25,23.5
2022-07-26,19.7
2022-07-27,20.3
2022-07-28,21.4
2022-07-29,23.3
2022-07-30,24.6
2022-07-31,23
2022-08-01,22.8
2022-08-02,24.6
2022-08-03,28
2022-08-04,24.1
2022-08-05,20.7
2022-08-06,19.8
2022-08-07,21.2
2022-08-08,22.6
2022-08-09,24.1
2022-08-10,26
2022-08-11,26.7
2022-08-12,27.2
2022-08-13,26.9
2022-08-14,22.8
2022-08-15,20.5
2022-08-16,21.1
2022-08-17,20.1
2022-08-18,22.1
2022-08-19,20.6
2022-08-20,19.6
2022-08-21,20.8
2022-08-22,21.3
2022-08-23,22.9
2022-08-24,25.7
2022-08-25,25
2022-08-26,21.7
2022-08-27,20.7
2022-08-28,20.6
2022-08-29,22.5
2022-08-30,21.4
2022-08-31,21.8
2022-09-01,22.3
2022-09-02,20.8
2022-09-03,20.2
2022-09-04,22.1
2022-09-05,22.8
2022-09-06,21.4
2022-09-07,18.4
2022-09-08,17.8
2022-09-09,16.9
2022-09-10,16.4
2022-09-11,17.2
2022-09-12,20.1
2022-09-13,22.2
2022-09-14,22.2
2022-09-15,18.8
2022-09-16,15.1
2022-09-17,13
2022-09-18,13.5
2022-09-19,14
2022-09-20,13.1
2022-09-21,14.2
2022-09-22,14.7
2022-09-23,15.2
2022-09-24,14.9
2022-09-25,14.8
2022-09-26,12.6
2022-09-27,12.2
2022-09-28,12.4
2022-09-29,11.4
2022-09-30,12.2
2022-10-01,16
2022-10-02,16.1
2022-10-03,11.8
2022-10-04,12.7
2022-10-05,15.9
2022-10-06,14.4
2022-10-07,12.9
2022-10-08,13.6
2022-10-09,12.5
2022-10-10,14.2
2022-10-11,13.3
2022-10-12,13.1
2022-10-13,13.8
2022-10-14,15.2
2022-10-15,16.4
2022-10-16,16.7
2022-10-17,17.6
2022-10-18,16.9
2022-10-19,17.1
2022-10-20,17.7
2022-10-21,16.5
2022-10-22,16.4
2022-10-23,17.9
2022-10-24,16.5
2022-10-25,15.5
2022-10-26,17.1
2022-10-27,17.3
2022-10-28,18.4
2022-10-29,18.5
2022-10-30,15.4
2022-10-31,15.8
2022-11-01,14.3
2022-11-02,12.5
2022-11-03,11.8
2022-11-04,10.3
2022-11-05,8.8
2022-11-06,10
2022-11-07,13.3
2022-11-08,13.3
2022-11-09,12.3
2022-11-10,9.1
2022-11-11,10
2022-11-12,10.4
2022-11-13,9.8
2022-11-14,9
2022-11-15,10.7
2022-11-16,10.8
2022-11-17,11.9
2022-11-18,9.4
2022-11-19,8.1
2022-11-20,7.4
2022-11-21,7
2022-11-22,8
2022-11-23,8.3
2022-11-24,9.9
2022-11-25,9.4
2022-11-26,6.4
2022-11-27,7.6
2022-11-28,8.9
2022-11-29,7.5
2022-11-30,6.4
2022-12-01,5.5
2022-12-02,4.7
2022-12-03,3.3
2022-12-04,3.3
2022-12-05,2.5
2022-12-06,3.4
2022-12-07,3.7
2022-12-08,3
2022-12-09,2
2022-12-10,1.5
2022-12-11,-1.5
2022-12-12,-1.6
2022-12-13,-1
2022-12-14,0.6
2022-12-15,-0.2
2022-12-16,-0.4
2022-12-17,-1.8
2022-12-18,-1.8
2022-12-19,8.6
2022-12-20,11.2
2022-12-21,10.5
2022-12-22,12.4
2022-12-23,13.5
2022-12-24,10.8
2022-12-25,11.6
2022-12-26,9.9
2022-12-27,6.3
2022-12-28,10.2
2022-12-29,10.1
2022-12-30,10.1
2022-12-31,15.1
2023-01-01,13.1
2023-01-02,10.7
2023-01-03,7.6
2023-01-04,11.7
2023-01-05,12.5
2023-01-06,11.4
2023-01-07,10
2023-01-08,9.5
2023-01-09,7.1
2023-01-10,7
2023-01-11,10.8
2023-01-12,10.6
2023-01-13,9.4
2023-01-14,10.2
2023-01-15,7.2
2023-01-16,5.4
2023-01-17,2.4
2023-01-18,2.2
2023-01-19,1.4
2023-01-20,2.9
2023-01-21,2.2
2023-01-22,0.8
2023-01-23,2.1
2023-01-24,2.4
2023-01-25,1
2023-01-26,2.5
2023-01-27,4.8
2023-01-28,3.1
2023-01-29,2
2023-01-30,5.7
2023-01-31,5.2
2023-02-01,8.1
2023-02-02,7.9
2023-02-03,8.8
2023-02-04,9.3
2023-02-05,7.5
2023-02-06,4.4
2023-02-07,3
2023-02-08,2.1
2023-02-09,2.1
2023-02-10,6.2
2023-02-11,6.2
2023-02-12,7.4
2023-02-13,6.4
2023-02-14,6.6
2023-02-15,6.7
2023-02-16,9
2023-02-17,12.7
2023-02-18,11.5
2023-02-19,10.6
2023-02-20,7.6
2023-02-21,8.9
2023-02-22,9
2023-02-23,8.5
2023-02-24,8.2
2023-02-25,6.1
2023-02-26,2.7
2023-02-27,2.8
2023-02-28,2.3
2023-03-01,2.9
2023-03-02,4.1
2023-03-03,4
2023-03-04,4
2023-03-05,5.8
2023-03-06,5.6
2023-03-07,6.7
2023-03-08,10
2023-03-09,11.7
2023-03-10,7.9
2023-03-11,5.9
2023-03-12,11.3
2023-03-13,13.4
2023-03-14,8.8
2023-03-15,6.9
2023-03-16,11
2023-03-17,12.5
2023-03-18,12.3
2023-03-19,10.1
2023-03-20,9.5
2023-03-21,12.2
2023-03-22,11.8
2023-03-23,13.7
2023-03-24,12.7
2023-03-25,11.2
2023-03-26,9.9
2023-03-27,7.7
2023-03-28,7.4
2023-03-29,14.6
2023-03-30,15.1
2023-03-31,12.6
2023-04-01,11.4
2023-04-02,8.3
2023-04-03,8.3
2023-04-04,7.5
2023-04-05,9
2023-04-06,11.5
2023-04-07,10.4
2023-04-08,9.9
2023-04-09,12
2023-04-10,12.5
2023-04-11,10.5
2023-04-12,9.9
2023-04-13,9.4
2023-04-14,7.2
2023-04-15,10.1
2023-04-16,10.6
2023-04-17,9.5
